,OTUID,Occ.unfil,Domain,Phylum,Class,Order,Family,Genus,Species,Family.ed,Genus.ed
197,HAEN01058188.41.1551,0.012658228,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA,NA,Burkholderiaceae,f_Burkholderiaceae
201,HE962120.1.1400,0.012658228,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,Enterococcaceae,Enterococcus
205,HK555464.5.1497,0.012658228,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,NA,Atopobiaceae,Atopobium
215,HQ183909.1.1489,0.012658228,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Leucobacter,uncultured bacterium,Microbacteriaceae,Leucobacter
218,HQ462533.1.1278,0.012658228,Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),DS-100,uncultured bacterium,uncultured bacterium,uncultured bacterium,DS-100,DS-100
219,HQ674886.1.1499,0.012658228,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,NA,Chitinophagaceae,f_Chitinophagaceae
221,HQ752078.1.1452,0.012658228,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,uncultured Staphylococcus sp.,Staphylococcaceae,Staphylococcus
222,JF189310.1.1369,0.012658228,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,uncultured bacterium,Streptococcaceae,Streptococcus
224,JF417844.1.1507,0.012658228,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,uncultured bacterium,Solirubrobacteraceae,Solirubrobacter
226,JN023497.1.1491,0.012658228,Bacteria,Proteobacteria,Gammaproteobacteria,WD260,uncultured bacterium,uncultured bacterium,uncultured bacterium,WD260,WD260
229,JN391638.1.1502,0.012658228,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,env.OPS 17,uncultured bacterium,uncultured bacterium,env.OPS 17,env.OPS 17
230,JN391781.1.1494,0.012658228,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Hydrogenophaga,uncultured bacterium,Burkholderiaceae,Hydrogenophaga
231,JN397774.1.1445,0.012658228,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,uncultured,uncultured bacterium,uncultured bacterium,o_Chitinophagales,o_Chitinophagales
232,JN628990.1.1569,0.012658228,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,Enterococcaceae,Enterococcus
233,JN644571.1.1553,0.012658228,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,NA,Aerococcaceae,Aerococcus
235,JN820203.1.1495,0.012658228,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Alkanindiges,uncultured bacterium,Moraxellaceae,Alkanindiges
240,JN997387.1.1521,0.012658228,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Gordonia,NA,Nocardiaceae,Gordonia
243,JQ586274.1.1514,0.012658228,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,uncultured bacterium,uncultured bacterium,Chloroplast,Chloroplast
245,JQ769899.1.1508,0.012658228,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dokdonella,metagenome,Rhodanobacteraceae,Dokdonella
246,JQ855569.1.1259,0.012658228,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Rickettsiella,uncultured Diplorickettsia sp.,Diplorickettsiaceae,Rickettsiella
252,JX240772.1.1512,0.012658228,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,Bacillaceae,Bacillus
254,JX545207.1.1517,0.012658228,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Subtercola,NA,Microbacteriaceae,Subtercola
258,KC202800.1.1427,0.012658228,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus durans,Enterococcaceae,Enterococcus
259,KC333895.1.1233,0.012658228,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,Enterococcaceae,Enterococcus
260,KC502949.1.1497,0.012658228,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Rubinisphaeraceae,Planctomicrobium,uncultured Planctomyces sp.,Rubinisphaeraceae,Planctomicrobium
264,KC554225.1.1535,0.012658228,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,uncultured bacterium,Pseudonocardiaceae,Pseudonocardia
270,KF037529.1.1462,0.012658228,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured bacterium,Sphingomonadaceae,Sphingomonas
273,KF105341.1.1391,0.012658228,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,uncultured bacterium,Lactobacillaceae,Lactobacillus
275,KF600710.1.1526,0.012658228,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinomycetospora,NA,Pseudonocardiaceae,Actinomycetospora
281,KF975551.1.1519,0.012658228,Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),Blastocatellales,Blastocatellaceae,Blastocatella,uncultured bacterium,Blastocatellaceae,Blastocatella
282,KH179773.1.1478,0.012658228,Bacteria,Firmicutes,Bacilli,Bacillales,NA,NA,NA,o_Bacillales,o_Bacillales
286,KJ782931.1.1448,0.012658228,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,NA,Rhizobiaceae,Mesorhizobium
293,KM819156.1.1538,0.012658228,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus fermentum,Lactobacillaceae,Lactobacillus
294,KM819157.1.1526,0.012658228,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,uncultured Bacillus sp.,Lactobacillaceae,Lactobacillus
300,KR051037.1.1397,0.012658228,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
301,KR081268.1.1454,0.012658228,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA,NA,Rhizobiaceae,f_Rhizobiaceae
303,KR088385.1.1564,0.012658228,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,NA,Nocardiaceae,Rhodococcus
304,KR088716.1.1442,0.012658228,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Marinococcus,NA,Bacillaceae,Marinococcus
308,KT308483.1.1462,0.012658228,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,uncultured,NA,Beijerinckiaceae,f_Beijerinckiaceae
309,KT350432.1.1533,0.012658228,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Noviherbaspirillum,NA,Burkholderiaceae,Noviherbaspirillum
311,KT971019.1.1475,0.012658228,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Nakamurellaceae,Nakamurella,NA,Nakamurellaceae,Nakamurella
314,KU352747.1.1311,0.012658228,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,Methylobacterium salsuginis,Beijerinckiaceae,Methylobacterium
315,KU366365.1.1545,0.012658228,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus fermentum,Lactobacillaceae,Lactobacillus
318,KU726283.1.1457,0.012658228,Bacteria,Cyanobacteria,Melainabacteria,Obscuribacterales,uncultured bacterium,uncultured bacterium,uncultured bacterium,Cyanobacteria,Cyanobacteria
323,KX589533.1.1464,0.012658228,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,uncultured,uncultured bacterium,Rhizobiales Incertae Sedis,Rhizobiales Incertae Sedis
325,KX938022.1.1498,0.012658228,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured marine eukaryote,uncultured marine eukaryote,uncultured marine eukaryote,Chloroplast,Chloroplast
326,KY003165.1.1540,0.012658228,Bacteria,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,Quadrisphaera,uncultured bacterium,Kineosporiaceae,Quadrisphaera
328,KY077153.1.1349,0.012658228,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA,Flavobacteriaceae,Flavobacterium
329,KY285265.1.1439,0.012658228,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,Bacillaceae,Bacillus
330,KY445705.1.1510,0.012658228,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp.,Mycobacteriaceae,Mycobacterium
331,KY611900.1.1553,0.012658228,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Okibacterium,NA,Microbacteriaceae,Okibacterium
338,KY992614.1.1498,0.012658228,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,uncultured bacterium,Rhodanobacteraceae,Rhodanobacter
341,LJOS01000104.3211.4728,0.012658228,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA,Flavobacteriaceae,Flavobacterium
344,LN833518.1.1522,0.012658228,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,uncultured Escherichia sp.,Enterobacteriaceae,Escherichia-Shigella
346,LNQS01000004.142.1676,0.012658228,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Rheinheimera,NA,Alteromonadaceae,Rheinheimera
347,LQXD01000001.79025.80958,0.012658228,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anaerobacillus,NA,Bacillaceae,Anaerobacillus
348,LSJY01000164.4318.5798,0.012658228,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,NA,Sphingomonadaceae,Sphingobium
352,LXTQ01000003.3712.5257,0.012658228,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,NA,NA,Methylophilaceae,f_Methylophilaceae
